statsmodel „formula”;statsmodel „matrix”;lme4;nlme;bam
M = 1.9956;M = 1.7596;M = 9.5139;M = 11.7934;M = 3.8094
SD = 0.1809;SD = 0.2385;SD = 0.3001;SD = 0.5152;SD = 0.2296
1.8179;1.6129;9.8735;13.4493;4.0897
1.8679;1.777;9.4036;13.3024;3.8048
1.9499;1.724;9.6875;12.5738;3.6689
1.814;1.5261;9.1788;12.8152;3.7838
2.1388;1.5781;9.6985;13.2267;3.6799
1.815;1.6191;9.7364;12.2;3.8778
1.822;1.72;9.4216;12.7727;3.7448
1.8939;1.6291;9.6435;11.8042;3.7688
1.83;1.6361;9.4976;12.0401;3.6819
1.8369;1.774;9.6195;12.1171;3.8208
1.9639;1.6321;9.7234;11.6304;3.6869
1.75;1.6211;9.6485;11.3245;3.7009
1.8689;1.6051;9.7344;11.8042;3.6859
2.0268;1.5811;9.3426;11.5404;3.7139
1.715;1.6141;9.4006;11.7563;3.6619
1.783;2.3057;9.5305;11.5744;3.6969
2.0558;1.6301;9.1777;11.7063;3.6759
1.8119;1.5251;9.4086;11.8522;3.7039
1.8599;1.5931;9.5026;11.1256;3.7988
1.9919;1.6421;9.3296;11.7683;3.7249
1.805;1.5931;9.3636;11.9492;3.8868
1.823;1.6151;9.1238;11.4974;3.7249
2.3307;1.5841;9.5415;11.2386;3.7348
2.0238;1.5841;9.6255;11.6034;3.6949
1.9259;1.694;9.3527;11.8052;3.7998
2.0388;1.6081;9.4806;11.3425;3.7289
1.814;1.5621;9.9243;11.5554;3.8968
1.8779;1.6441;9.3786;11.2276;4.0357
2.2867;1.6121;9.7784;11.8272;4.1663
2.1108;1.6191;9.5885;11.3595;3.8018
2.1028;2.4116;9.5995;11.7803;3.6889
2.0638;1.8379;9.4226;11.2656;3.7399
2.4066;1.5831;9.4116;11.4465;3.6989
2.0348;1.697;9.4166;11.1626;3.6939
1.9369;1.6161;9.1458;11.4025;3.7539
2.0332;1.5841;9.3856;11.3915;3.7998
2.1919;1.5931;9.7044;11.4125;3.7099
2.017;1.5861;9.3467;11.5424;3.7609
1.8422;1.5491;9.1887;12.118;3.8048
1.8454;1.5081;9.3756;11.7023;3.8068
2.1584;1.5311;10.1852;11.7503;3.7948
1.8555;1.5511;9.5975;11.8422;3.6829
2.0594;1.5351;9.4336;11.4405;3.7009
2.032;1.5601;9.6994;11.6883;3.8618
2.1958;1.6151;9.5735;11.1356;3.6729
1.9756;2.3726;9.2737;11.4904;3.7938
1.9189;1.8589;9.3746;11.7623;4.3705
2.0035;1.806;9.5016;11.4824;4.6433
2.1318;1.9149;9.8604;12.3289;4.6314
1.8997;1.8399;10.439;11.4994;4.1836
1.9115;1.719;9.1957;11.6823;4.1046
2.082;1.677;8.9749;11.8382;5.0961
2.2966;1.5901;9.2827;11.8172;4.2546
1.9205;1.752;9.4816;11.6873;4.3285
1.9469;1.661;10.3751;12.4579;3.9827
1.9349;1.73;9.6651;13.1208;3.7199
2.1338;1.776;9.4406;11.1196;3.9577
1.8555;1.73;9.6475;11.7323;3.8938
1.8941;1.692;9.4926;11.7463;3.9388
1.8319;1.8699;9.7444;12.1021;3.7459
2.1272;2.7556;9.4626;12.7167;3.6759
1.878;1.9957;9.3687;12.0141;3.7439
2.0028;1.722;9.4456;12.341;3.8418
1.8791;1.732;9.0928;13.0265;3.6669
2.294;1.674;9.3317;11.7643;3.6799
1.8582;1.69;9.7164;11.6873;3.7598
1.756;1.709;9.6715;11.6623;3.7149
1.805;1.9688;10.0512;11.0287;3.9058
2.0768;1.9129;9.3866;12.4539;3.6889
1.828;1.8779;9.5216;11.9902;3.6809
2.0039;1.815;9.2387;11.7823;3.7139
1.9259;1.7507;9.5146;11.6123;3.6929
2.3167;1.728;9.3007;11.5044;3.6429
2.1648;1.7286;10.1142;11.5394;3.7998
2.1788;1.7405;9.7194;11.5234;3.7029
1.8759;2.5482;9.7115;11.4784;3.7139
2.3177;1.9075;9.1038;11.6544;3.7458
2.0198;1.8363;9.7404;11.6793;3.6679
1.9389;1.7253;9.1927;12.6208;3.8358
2.4346;1.929;9.3107;12.4978;3.6619
2.4356;2.0329;9.7554;12.3979;3.6889
1.802;1.916;9.4176;11.5804;3.6649
1.83;2.3287;9.5435;11.6454;3.6739
1.8359;1.8651;9.4216;11.9681;3.7159
2.1068;1.8173;9.2247;11.1286;3.8158
1.9589;2.2475;9.6265;11.7433;3.6649
1.8739;1.7651;9.3577;11.1386;3.7159
1.9119;1.749;9.3796;11.7353;3.6999
2.4966;1.9014;9.2037;11.1137;3.6709
2.0168;1.7115;9.4216;11.7802;3.8098
2.1478;2.5435;9.2787;11.1277;3.6729
1.9679;2.0098;9.1787;12.0671;3.7099
2.0078;1.7248;9.1708;11.6304;3.6779
2.4906;1.6645;9.3437;11.9572;3.6609
1.769;1.6624;9.3896;11.6163;3.6929
1.9509;1.5766;9.2887;11.1616;3.7718
2.2657;1.6644;9.2727;11.9492;3.6529
1.768;1.621;9.2747;11.0687;3.6739
1.9009;1.6162;9.9893;11.7903;3.8298
2.1828;1.5853;10.9017;11.4255;3.6789
