statsmodel_formula,statsmodel_matrix,lme4,nlme,mgcv
1.5731,1.5631,9.2887,11.5224,3.6673
1.6571,1.83,10.3971,11.7103,3.4722
1.9209,1.713,9.3047,11.7643,3.767
1.755,1.5611,9.6025,11.1846,3.817
1.9279,1.4991,9.0728,10.0722,4.076
1.8369,1.4582,10.3841,12.217,3.9451
1.693,1.5131,9.7874,10.549,3.9779
2.1308,1.5111,10.1182,12.1161,3.8567
1.744,1.701,9.6365,11.7283,3.7534
1.687,1.718,9.6095,11.5364,3.9038
1.6221,1.6271,10.1382,11.8172,3.9607
1.657,1.6551,9.6135,12.3239,4.0617
2.2737,1.6481,10.6099,11.0027,3.8108
1.748,1.5451,10.2981,10.8248,3.6909
1.5831,1.6211,10.0303,10.3751,3.7888
2.0858,2.4446,10.0832,10.8783,3.9817
1.756,1.8429,9.1248,11.3385,3.9188
1.764,1.706,9.5185,11.7103,3.6549
1.75,1.5351,9.2037,10.5749,3.8538
2.1058,1.5071,9.5515,11.6213,3.6989
1.8489,1.4981,9.5505,10.968,3.2751
1.764,1.5111,9.5106,12.1121,3.411
1.673,1.6051,9.5605,11.6703,3.44
2.1428,1.5321,9.1218,11.1926,3.2501
1.667,1.5241,10.439,11.0417,3.3571
1.794,1.5671,9.3916,11.9272,3.3961
1.698,1.6151,9.7634,10.8338,3.498
2.2217,1.6191,9.3187,11.0197,3.2451
1.8,1.5381,10.2911,11.1446,3.1212
1.765,1.769,9.7824,11.7803,3.2691
1.6561,2.5306,9.6035,11.1096,3.2751
1.9189,1.8859,9.8604,12.0751,3.475
1.5541,1.761,8.9629,11.9082,3.559
1.5991,1.5931,9.5186,12.5093,3.506
1.699,1.5931,8.8859,11.739,3.1925
2.0618,1.5891,9.9753,12.3365,3.2631
1.686,1.6241,9.7804,10.9767,3.3081
1.815,1.5521,8.715,10.539,3.56
1.809,1.5971,9.4656,11.5564,3.467
2.3117,1.5951,9.5945,11.5974,3.486
1.801,1.5611,8.9939,11.6953,3.2412
1.8429,1.5211,9.7564,10.7289,3.2201
1.757,1.5611,9.7194,11.2466,3.422
2.1927,1.6571,9.5645,11.0787,3.468
1.75,1.664,10.0942,12.4878,3.4231
1.5801,2.7274,9.8344,12.1352,3.3451
1.691,1.819,10.0303,12.8167,3.2042
2.1268,1.6601,10.6289,10.6789,3.2501
1.744,1.5411,9.3367,10.8608,3.2401
1.771,1.6431,11.3355,11.9042,3.491
1.9019,1.6341,10.434,11.4365,3.497
2.2717,1.6551,9.9393,11.5714,3.446
1.9459,1.728,10.5899,11.6843,3.2212
1.827,1.6451,10.411,10.8908,3.2841
1.705,1.6391,10.2471,12.3619,3.3111
2.1278,1.6321,10.0323,11.4965,3.485
1.722,1.693,9.5255,12.0181,3.3271
1.723,1.5951,10.52,11.2166,3.3211
1.768,1.714,9.3147,12.8217,3.2181
2.0898,1.6091,9.4986,11.7763,3.2521
1.8909,2.4096,9.4856,11.4294,3.1662
1.8869,1.774,9.5076,12.4173,3.419
1.771,1.796,8.824,11.0977,3.6019
2.2097,1.6411,10.1872,12.4759,3.533
1.8399,1.5001,9.9233,11.2446,3.506
1.708,1.5791,8.8459,12.3349,3.4151
1.712,1.673,10.7678,11.7213,3.3251
2.0498,1.5541,10.3091,10.7788,3.0971
1.685,1.6351,10.432,11.2466,2.9711
1.796,1.6041,9.674,11.8332,2.944
1.6241,1.5921,10.0929,11.8042,2.922
1.709,1.5511,10.1579,11.1686,3.4215
2.1628,1.6561,9.7304,11.3965,3.2087
1.826,1.5361,8.8499,11.6054,3.0277
1.9269,1.5381,8.8699,12.5798,3.0301
1.751,2.7644,9.6415,11.0357,3.033
1.722,1.729,9.0108,10.6239,3.0258
2.2117,1.8669,10.2981,11.5084,3.0712
1.786,1.4752,9.3431,11.9082,3.0403
1.808,1.4442,8.6544,11.3166,3.2871
1.821,1.5151,9.1344,11.8802,3.2661
1.791,1.4941,9.3507,11.6783,3.449
2.4646,1.4272,9.2597,11.0866,3.3911
1.8879,1.5101,9.9453,11.1576,3.3891
1.736,1.803,9.2547,10.9118,3.3251
1.774,1.678,9.2387,11.4884,3.444
1.6241,1.5681,9.6485,11.4794,3.4301
2.1548,1.6331,9.5855,11.3985,3.4021
1.6011,1.6271,10.0013,10.0422,3.487
1.662,1.6221,10.2351,11.0417,3.3831
1.822,2.4766,10.1702,11.8642,3.2611
1.752,1.75,11.1426,12.17,3.2671
2.2437,1.751,9.9183,10.7638,3.4544
1.79,1.5651,9.6085,11.0597,3.5068
1.774,1.5751,9.4866,10.5719,3.38
1.724,1.4622,9.4666,10.2801,3.4373
1.834,1.4072,10.3331,10.516,3.1982
2.3117,1.3972,10.1402,10.2891,3.2501
1.9829,1.4442,9.5046,10.7578,3.3841
1.746,1.4971,9.6575,10.8288,3.3181
