Liczba_obserwacji,Liczba_grup,Czas_wykonania,Biblioteka,RAM
10000,25,0.0959,lme4,14.3831
20000,25,0.158,lme4,28.6927
30000,25,0.2302,lme4,41.8227
40000,25,0.3035,lme4,57.3128
50000,25,0.3971,lme4,70.442
60000,25,0.471,lme4,83.572
70000,25,0.604,lme4,101.4214
80000,25,0.623,lme4,114.5506
90000,25,0.763,lme4,127.6806
100000,25,0.7752,lme4,140.8111
110000,25,1.0031,lme4,153.9411
120000,25,1.0274,lme4,167.0706
130000,25,1.1547,lme4,180.2013
140000,25,1.1619,lme4,202.7678
150000,25,1.2466,lme4,215.8978
160000,25,1.4082,lme4,229.0283
170000,25,1.3539,lme4,242.1578
180000,25,1.5026,lme4,255.2878
190000,25,1.684,lme4,268.4183
200000,25,1.7387,lme4,281.5478
210000,25,1.9026,lme4,294.678
220000,25,1.9424,lme4,307.8078
230000,25,2.1274,lme4,320.9378
240000,25,2.19,lme4,334.0691
250000,25,2.5154,lme4,347.1993
260000,25,2.7695,lme4,360.3278
270000,25,2.6079,lme4,392.3321
280000,25,2.6708,lme4,405.4624
290000,25,2.5172,lme4,418.5922
300000,25,2.6905,lme4,431.7229
310000,25,2.5489,lme4,444.8521
320000,25,2.6555,lme4,457.9824
330000,25,2.7415,lme4,471.1124
340000,25,3.0366,lme4,484.2423
350000,25,3.0776,lme4,497.3722
360000,25,3.3011,lme4,510.5029
370000,25,3.4107,lme4,523.6321
380000,25,3.5323,lme4,536.7621
390000,25,3.5586,lme4,549.8929
400000,25,3.578,lme4,563.0221
410000,25,3.8888,lme4,576.1531
420000,25,4.1791,lme4,589.2824
430000,25,4.3524,lme4,602.4121
440000,25,4.4947,lme4,615.5426
450000,25,4.189,lme4,628.6726
460000,25,4.6605,lme4,641.8023
470000,25,4.6144,lme4,654.9321
480000,25,4.675,lme4,668.0626
490000,25,4.8185,lme4,681.1926
500000,25,4.9967,lme4,694.3221
510000,25,4.8735,lme4,707.4523
520000,25,5.0149,lme4,720.5821
530000,25,5.0668,lme4,771.4616
540000,25,5.1541,lme4,784.5911
550000,25,5.0157,lme4,797.7211
560000,25,5.4493,lme4,810.8509
570000,25,5.353,lme4,823.9816
580000,25,5.4906,lme4,837.1109
590000,25,5.6003,lme4,850.2409
600000,25,5.789,lme4,863.3709
610000,25,5.492,lme4,876.5021
620000,25,5.7324,lme4,889.6309
630000,25,5.7717,lme4,902.7609
640000,25,5.9983,lme4,915.8911
650000,25,6.0926,lme4,929.0211
660000,25,6.2142,lme4,942.1516
670000,25,6.25,lme4,955.2812
680000,25,6.5053,lme4,968.4109
690000,25,6.496,lme4,981.5414
700000,25,6.5722,lme4,994.6709
710000,25,6.7051,lme4,1007.8009
720000,25,6.6772,lme4,1020.9316
730000,25,6.9622,lme4,1034.0611
740000,25,7.2463,lme4,1047.1913
750000,25,7.1986,lme4,1060.3209
760000,25,7.3689,lme4,1073.4514
770000,25,7.3562,lme4,1086.5811
780000,25,7.3289,lme4,1099.7111
790000,25,7.749,lme4,1112.8411
800000,25,7.7654,lme4,1125.9711
810000,25,7.7429,lme4,1139.1011
820000,25,7.7446,lme4,1152.2311
830000,25,8.0244,lme4,1165.3611
840000,25,8.4368,lme4,1178.4911
850000,25,8.4992,lme4,1191.6209
860000,25,8.6462,lme4,1204.7514
870000,25,8.7109,lme4,1217.8809
880000,25,8.7773,lme4,1231.0114
890000,25,8.7808,lme4,1244.1411
900000,25,8.8014,lme4,1257.2714
910000,25,8.873,lme4,1270.4009
920000,25,9.6457,lme4,1283.5309
930000,25,9.1384,lme4,1296.6616
940000,25,9.0699,lme4,1309.7911
950000,25,9.1967,lme4,1322.9209
960000,25,9.5746,lme4,1336.0514
970000,25,9.8692,lme4,1349.1811
980000,25,8.8089,lme4,1362.3109
990000,25,9.5139,lme4,1375.4414
1000000,25,9.4413,lme4,1388.5713
10000,25,0.0936,nlme,15.8978
20000,25,0.1843,nlme,31.6813
30000,25,0.2545,nlme,45.9996
40000,25,0.3651,nlme,63.2248
50000,25,0.4837,nlme,77.5432
60000,25,0.5744,nlme,91.8732
70000,25,0.6723,nlme,111.9762
80000,25,0.8578,nlme,126.3062
90000,25,0.958,nlme,140.6304
100000,25,1.1074,nlme,154.9604
110000,25,1.121,nlme,169.2904
120000,25,1.344,nlme,183.6204
130000,25,1.3947,nlme,197.9446
140000,25,1.5137,nlme,223.867
150000,25,1.6518,nlme,238.1447
160000,25,1.8733,nlme,252.4747
170000,25,1.923,nlme,266.8105
180000,25,1.9937,nlme,281.1289
190000,25,2.1401,nlme,295.4647
200000,25,2.4087,nlme,309.7947
210000,25,2.4546,nlme,324.1305
220000,25,2.5638,nlme,338.4605
230000,25,2.7182,nlme,352.837
240000,25,2.98,nlme,367.1147
250000,25,3.2219,nlme,381.4389
260000,25,3.6748,nlme,395.7747
270000,25,3.1159,nlme,433.1792
280000,25,3.0263,nlme,447.5034
290000,25,3.1539,nlme,461.8276
300000,25,3.2051,nlme,476.1692
310000,25,3.3264,nlme,490.4876
320000,25,3.4634,nlme,504.8176
330000,25,3.4873,nlme,519.1476
340000,25,3.7192,nlme,533.4834
350000,25,3.7512,nlme,547.8076
360000,25,3.8538,nlme,562.1376
370000,25,4.0087,nlme,576.4676
380000,25,4.07,nlme,590.8034
390000,25,4.3495,nlme,605.1276
400000,25,4.4288,nlme,619.4576
410000,25,4.719,nlme,633.7876
420000,25,4.7873,nlme,648.1234
430000,25,5.0509,nlme,662.4534
440000,25,5.2133,nlme,676.7776
450000,25,5.0661,nlme,691.1076
460000,25,5.5327,nlme,705.4376
470000,25,5.448,nlme,719.7734
480000,25,5.5981,nlme,734.1034
490000,25,5.5445,nlme,748.4334
500000,25,5.8388,nlme,762.7576
510000,25,5.7596,nlme,777.0876
520000,25,5.7929,nlme,791.4234
530000,25,5.9786,nlme,851.8849
540000,25,6.2292,nlme,866.2149
550000,25,6.4275,nlme,880.5449
560000,25,6.4012,nlme,894.8924
570000,25,6.4862,nlme,909.2049
580000,25,6.4971,nlme,923.5407
590000,25,6.6232,nlme,937.8707
600000,25,6.599,nlme,952.1949
610000,25,6.8504,nlme,966.5307
620000,25,6.9194,nlme,980.8552
630000,25,6.9877,nlme,995.1849
640000,25,7.1469,nlme,1009.5149
650000,25,7.4745,nlme,1023.8449
660000,25,7.2925,nlme,1038.2214
670000,25,7.4743,nlme,1052.5107
680000,25,7.5707,nlme,1066.8349
690000,25,7.7992,nlme,1081.1649
700000,25,7.9328,nlme,1095.4949
710000,25,7.8838,nlme,1109.8249
720000,25,8.1225,nlme,1124.1666
730000,25,8.43,nlme,1138.4907
740000,25,8.3286,nlme,1152.8207
750000,25,8.2816,nlme,1167.1449
760000,25,8.2516,nlme,1181.4749
770000,25,8.3695,nlme,1195.8049
780000,25,8.6711,nlme,1210.1582
790000,25,8.5566,nlme,1224.4882
800000,25,8.726,nlme,1238.8007
810000,25,9.0701,nlme,1253.1252
820000,25,9.1328,nlme,1267.4549
830000,25,9.365,nlme,1281.7849
840000,25,9.6132,nlme,1296.1149
850000,25,9.4168,nlme,1310.4914
860000,25,9.5018,nlme,1324.7866
870000,25,9.9039,nlme,1339.1226
880000,25,9.6474,nlme,1353.4349
890000,25,9.7463,nlme,1367.7707
900000,25,9.9931,nlme,1382.0949
910000,25,10.2563,nlme,1396.431
920000,25,10.3179,nlme,1410.761
930000,25,10.5369,nlme,1425.1372
940000,25,10.481,nlme,1439.4614
950000,25,10.6937,nlme,1453.7449
960000,25,10.8439,nlme,1468.0749
970000,25,10.9738,nlme,1482.4049
980000,25,10.447,nlme,1496.7349
990000,25,10.7858,nlme,1511.0649
1000000,25,10.7804,nlme,1525.3949
10000,25,1.7257,mgcv,8.9378
20000,25,1.7325,mgcv,23.3223
30000,25,1.68,mgcv,33.0611
40000,25,1.7144,mgcv,43.2895
50000,25,1.7879,mgcv,52.9924
60000,25,1.791,mgcv,62.6963
70000,25,1.7686,mgcv,73.4479
80000,25,1.8071,mgcv,83.1516
90000,25,1.8189,mgcv,92.855
100000,25,1.8596,mgcv,102.5587
110000,25,1.9359,mgcv,112.2979
120000,25,1.9011,mgcv,122.0011
130000,25,1.9336,mgcv,131.7045
140000,25,1.9468,mgcv,143.505
150000,25,1.9419,mgcv,153.2084
160000,25,1.9972,mgcv,162.9116
170000,25,1.9537,mgcv,172.6158
180000,25,1.9912,mgcv,182.3207
190000,25,2.0302,mgcv,192.023
200000,25,2.0366,mgcv,201.7269
210000,25,2.1835,mgcv,211.4313
220000,25,2.1241,mgcv,221.133
230000,25,2.1041,mgcv,230.8372
240000,25,2.2632,mgcv,240.5406
250000,25,2.328,mgcv,250.2445
260000,25,2.4535,mgcv,259.9474
270000,25,2.2504,mgcv,273.8451
280000,25,2.0541,mgcv,283.5479
290000,25,2.0825,mgcv,293.2527
300000,25,2.0831,mgcv,302.9553
310000,25,2.1132,mgcv,312.6603
