"cow.id";"btn3a1";"lactation";"milk";"fat"
1;"1";"1";7770;358
2;"1";"1";7341;376
3;"1";"1";6998;294
3;"1";"2";8564;331
3;"1";"3";8621;330
4;"1";"1";9536;365
4;"1";"2";7950;331
4;"1";"3";8570;322
5;"1";"1";9453;339
5;"1";"2";11004;407
6;"2";"1";6399;294
7;"1";"1";8669;304
7;"1";"2";8301;296
8;"1";"1";8436;363
8;"1";"2";9730;344
8;"1";"3";7338;270
9;"1";"1";7311;358
9;"1";"2";9051;384
9;"1";"3";7044;320
10;"1";"1";6243;287
10;"1";"2";9052;445
10;"1";"3";9138;370
12;"1";"1";7006;323
12;"1";"2";8476;358
12;"1";"3";8820;316
13;"1";"1";9281;315
13;"1";"2";6696;267
15;"1";"1";7002;304
15;"1";"2";8264;385
15;"1";"3";7074;379
15;"1";"4";8531;363
16;"1";"1";7341;302
16;"1";"2";6260;288
16;"1";"3";6716;261
16;"1";"4";7964;315
17;"1";"1";6017;259
17;"1";"2";7305;289
17;"1";"3";8878;280
17;"1";"4";8543;277
18;"1";"1";8167;282
18;"1";"2";7290;305
18;"1";"3";10220;294
18;"1";"4";10406;356
19;"1";"1";6183;276
19;"1";"2";8354;385
19;"1";"3";9359;457
19;"1";"4";5989;219
20;"1";"1";7659;330
20;"1";"2";8293;402
20;"1";"3";7746;348
20;"1";"4";9421;338
21;"1";"1";7561;313
21;"1";"2";7937;317
21;"1";"3";6948;348
21;"1";"4";7088;269
22;"2";"1";5985;240
22;"2";"2";6730;336
22;"2";"3";7963;310
22;"2";"4";7012;303
23;"1";"1";5789;236
23;"1";"2";6339;304
23;"1";"3";6321;264
23;"1";"4";7088;269
24;"1";"1";7536;275
24;"1";"2";6367;238
24;"1";"3";9771;413
24;"1";"4";7405;265
25;"1";"1";4904;194
25;"1";"2";5897;225
25;"1";"3";6495;268
25;"1";"4";7663;318
26;"2";"1";5597;198
26;"2";"2";6815;234
26;"2";"3";6065;199
26;"2";"4";4508;174
27;"2";"1";6887;242
27;"2";"2";9000;320
27;"2";"3";8801;321
27;"2";"4";8563;304
28;"1";"1";6513;263
28;"1";"2";6598;256
28;"1";"3";8148;713
28;"1";"4";8101;268
29;"1";"1";6518;262
29;"1";"2";8589;397
29;"1";"3";6029;237
29;"1";"4";8445;307
32;"1";"1";5564;256
32;"1";"2";6540;370
32;"1";"3";6655;263
32;"1";"4";6214;259
33;"1";"1";6203;270
33;"1";"2";7621;386
34;"1";"1";6269;303
34;"1";"2";8350;516
34;"1";"3";9842;436
34;"1";"4";8793;377
36;"1";"1";6775;270
36;"1";"2";6068;302
36;"1";"3";7274;287
36;"1";"4";9392;327
37;"1";"1";6144;270
37;"1";"2";7046;321
37;"1";"3";8231;382
37;"1";"4";7688;328
39;"1";"1";5959;240
39;"1";"2";3825;153
40;"2";"1";5547;244
40;"2";"2";5311;252
40;"2";"3";6198;288
40;"2";"4";5857;257
41;"1";"1";6311;248
41;"1";"2";6890;297
41;"1";"3";6676;241
41;"1";"4";6824;234
42;"1";"1";5689;253
42;"1";"2";7563;335
42;"1";"3";8623;433
42;"1";"4";8612;365
43;"1";"1";6057;223
43;"1";"2";7221;257
43;"1";"3";8825;292
43;"1";"4";8242;374
44;"1";"1";8823;303
44;"1";"2";8499;251
44;"1";"3";10147;355
44;"1";"4";10004;317
45;"1";"1";6101;239
45;"1";"2";6774;266
45;"1";"3";5935;274
45;"1";"4";8219;286
46;"1";"1";7121;287
46;"1";"2";8596;349
47;"1";"1";6278;244
47;"1";"2";6857;237
47;"1";"3";7681;252
47;"1";"4";7264;287
48;"1";"1";7285;265
48;"1";"2";7603;262
48;"1";"3";8260;287
48;"1";"4";7603;268
49;"1";"1";5787;191
49;"1";"2";5382;186
49;"1";"3";7285;268
49;"1";"4";7733;324
50;"2";"1";5253;209
50;"2";"2";7052;310
50;"2";"3";8864;402
50;"2";"4";6917;289
51;"1";"1";6798;262
51;"1";"2";8425;356
51;"1";"3";5043;209
51;"1";"4";8752;311
52;"1";"1";5685;230
52;"1";"2";6314;296
52;"1";"3";7494;344
52;"1";"4";7443;342
53;"1";"1";7202;271
53;"1";"2";7128;274
53;"1";"3";8944;366
53;"1";"4";8920;342
54;"2";"1";6833;250
54;"2";"2";8580;316
54;"2";"3";8022;331
54;"2";"4";6436;271
55;"1";"1";8000;268
55;"1";"2";8840;321
55;"1";"3";10581;391
55;"1";"4";9055;320
56;"1";"1";7102;276
56;"1";"2";8434;324
56;"1";"3";7434;303
57;"1";"1";6048;235
57;"1";"2";7183;299
58;"1";"1";6532;270
58;"1";"2";6974;303
58;"1";"3";7111;343
58;"1";"4";8481;359
59;"1";"1";5223;191
59;"1";"2";5249;215
59;"1";"3";8402;354
59;"1";"4";8381;383
60;"1";"1";4779;221
60;"1";"2";6346;316
60;"1";"3";8895;423
60;"1";"4";8262;391
61;"1";"1";6870;237
61;"1";"2";8039;324
61;"1";"3";9082;329
61;"1";"4";10103;367
62;"1";"1";6399;289
62;"1";"2";6307;293
62;"1";"3";4101;198
62;"1";"4";6554;311
63;"1";"1";2005;85
63;"1";"2";7851;340
63;"1";"3";6658;311
63;"1";"4";5508;215
64;"1";"1";4725;204
64;"1";"2";7223;313
64;"1";"3";6590;276
65;"1";"1";6569;276
65;"1";"2";7092;311
65;"1";"3";7110;315
65;"1";"4";7960;305
66;"1";"1";6046;251
66;"1";"2";6831;258
66;"1";"3";5236;226
66;"1";"4";5617;267
68;"1";"1";6886;203
68;"1";"2";7675;283
68;"1";"3";8163;283
68;"1";"4";10030;302
69;"1";"1";7477;265
69;"1";"2";7759;287
69;"1";"3";8895;292
69;"1";"4";9381;281
70;"1";"1";6468;279
70;"1";"2";8796;342
72;"2";"1";4869;190
72;"2";"2";5391;250
72;"2";"3";8371;411
73;"1";"1";5164;245
73;"1";"2";4851;240
74;"1";"1";6904;239
74;"1";"2";6854;268
75;"1";"1";6355;257
75;"1";"2";3482;146
76;"1";"1";5979;236
76;"1";"2";7513;283
77;"1";"1";4140;184
77;"1";"2";7141;314
77;"1";"3";6696;293
78;"1";"1";6924;274
78;"1";"2";6397;310
79;"1";"1";6922;276
79;"1";"2";6990;309
79;"1";"3";5867;297
80;"1";"1";5994;260
80;"1";"2";6631;271
80;"1";"3";7440;323
81;"1";"1";7142;295
81;"1";"2";5995;243
81;"1";"3";6336;247
81;"1";"4";7887;291
82;"1";"1";6688;280
82;"1";"2";6704;291
82;"1";"3";7813;287
82;"1";"4";7009;264
83;"1";"1";5500;265
83;"1";"2";5331;274
83;"1";"3";6756;330
83;"1";"4";6254;331
84;"1";"1";5673;247
84;"1";"2";6241;314
84;"1";"3";6306;282
84;"1";"4";7587;374
85;"1";"1";6242;251
85;"1";"2";8027;382
